title,details,board_name,created_at,alive
High-End Bag — Forest Green Mid-Century Chevron #002,In midnight with a brushed finish this mid-century design is crafted from bamboo viscose and features a subtle sateen texture. Thoughtfully USB-C fast-charging and naturally energy-efficient it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/11/22 20:38:26,true
High-End Scarf — Rust Vintage-Inspired Quilting #003,In forest green with a patina finish this contemporary design is crafted from walnut and features a subtle quilting texture. Thoughtfully detachable and naturally modular it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/10/12 23:44:57,true
High-End Belt — Mocha Japandi Sateen #004,In almond beige with a matte finish this vintage-inspired design is crafted from anodized aluminum and features a subtle chevron texture. Thoughtfully noise-cancelling and naturally multi-room it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/09/03 18:02:59,true
High-End Polo — Indigo Minimalist Rib-Knit #005,In taupe with a powder-coated finish this minimalist design is crafted from Italian leather and features a subtle micro-check texture. Thoughtfully wireless and naturally USB-C fast-charging it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/11/21 08:35:57,true
High-End Trousers — Seafoam Boho Chevron #006,In indigo with a raw finish this Scandinavian design is crafted from stoneware and features a subtle pebbled texture. Thoughtfully energy-efficient and naturally multi-room it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/11/13 03:46:06,true
High-End Coat — Taupe Art Deco Herringbone #007,In slate blue with a raw finish this art deco design is crafted from stoneware and features a subtle rib-knit texture. Thoughtfully water-resistant and naturally USB-C fast-charging it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/10/21 15:42:56,true
High-End Skirt — Sage Mid-Century Quilting #008,In seafoam with a raw finish this art deco design is crafted from walnut and features a subtle basketweave texture. Thoughtfully adaptive fit and naturally multi-room it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/09/20 07:29:25,true
High-End Loafers — Terracotta Boho Basketweave #009,In onyx with a patina finish this mid-century design is crafted from anodized aluminum and features a subtle herringbone texture. Thoughtfully modular and naturally voice control it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/08/24 18:10:37,true
High-End Beanie — Taupe Mid-Century Rib-Knit #010,In copper with a powder-coated finish this Japandi design is crafted from carbon fiber and features a subtle pebbled texture. Thoughtfully heat-retaining and naturally low-latency it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/10/06 01:31:03,true
High-End Scarf — Graphite Modern Coastal Quilting #011,In mocha with a raw finish this vintage-inspired design is crafted from bamboo viscose and features a subtle quilting texture. Thoughtfully noise-cancelling and naturally ergonomic it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/11/28 14:58:06,true
High-End Skirt — Slate Blue Industrial Micro-Check #012,In taupe with a hand-burnished finish this industrial design is crafted from silicone and features a subtle quilting texture. Thoughtfully heat-retaining and naturally multi-room it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/10/27 17:00:35,true
High-End Dress — Seafoam Contemporary Corded #013,In seafoam with a oiled finish this mid-century design is crafted from ceramic and features a subtle micro-check texture. Thoughtfully detachable and naturally multi-room it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/11/13 01:44:45,true
High-End Beanie — Ivory Mid-Century Quilting #014,In sage with a brushed finish this minimalist design is crafted from Italian leather and features a subtle quilting texture. Thoughtfully packable and naturally multi-room it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/10/10 18:03:34,true
High-End Jumpsuit — Indigo Vintage-Inspired Micro-Check #015,In pearl with a oiled finish this Japandi design is crafted from bamboo viscose and features a subtle chevron texture. Thoughtfully noise-cancelling and naturally detachable it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/10/04 02:20:51,true
High-End Cardigan — Graphite Boho Sateen #016,In sage with a lacquered finish this Japandi design is crafted from oak and features a subtle sateen texture. Thoughtfully energy-efficient and naturally packable it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/10/27 19:18:49,true
High-End Dress — Taupe Boho Corded #017,In sage with a raw finish this mid-century design is crafted from oak and features a subtle chevron texture. Thoughtfully USB-C fast-charging and naturally collapsible it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/10/25 06:22:34,true
High-End Shirt — Pearl Contemporary Chevron #018,In onyx with a powder-coated finish this contemporary design is crafted from Italian leather and features a subtle herringbone texture. Thoughtfully OLED display and naturally water-resistant it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/10/05 21:34:04,true
High-End Bag — Charcoal Industrial Rib-Knit #019,In copper with a high-gloss finish this mid-century design is crafted from linen and features a subtle pebbled texture. Thoughtfully packable and naturally stain-resistant it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/11/14 15:51:57,true
High-End Boots — Almond Beige Scandinavian Herringbone #020,In indigo with a powder-coated finish this Scandinavian design is crafted from organic cotton and features a subtle herringbone texture. Thoughtfully USB-C fast-charging and naturally OLED display it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/08/25 11:22:56,true
High-End Dress — Indigo Art Deco Pebbled #021,In ivory with a oiled finish this mid-century design is crafted from anodized aluminum and features a subtle herringbone texture. Thoughtfully multi-room and naturally low-latency it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/11/24 06:42:00,true
High-End Boots — Onyx Contemporary Herringbone #022,In indigo with a oiled finish this vintage-inspired design is crafted from cashmere and features a subtle basketweave texture. Thoughtfully ergonomic and naturally dishwasher-safe it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/08/15 00:08:52,true
High-End Loafers — Rust Japandi Matelassé #023,In seafoam with a high-gloss finish this boho design is crafted from borosilicate glass and features a subtle basketweave texture. Thoughtfully packable and naturally energy-efficient it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/11/18 02:40:11,true
High-End Scarf — Rosewood Industrial Matelassé #024,In onyx with a powder-coated finish this boho design is crafted from ceramic and features a subtle quilting texture. Thoughtfully noise-cancelling and naturally stackable it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/11/19 06:55:43,true
High-End Belt — Seafoam Modern Coastal Matelassé #025,In sunflower yellow with a matte finish this mid-century design is crafted from borosilicate glass and features a subtle micro-check texture. Thoughtfully energy-efficient and naturally collapsible it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/10/14 14:42:55,true
High-End Beanie — Copper Vintage-Inspired Herringbone #026,In midnight with a hand-burnished finish this contemporary design is crafted from brushed steel and features a subtle rib-knit texture. Thoughtfully energy-efficient and naturally dishwasher-safe it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/11/04 03:36:49,true
High-End Dress — Copper Modern Coastal Basketweave #027,In rust with a powder-coated finish this minimalist design is crafted from sapphire crystal and features a subtle micro-check texture. Thoughtfully low-latency and naturally wireless it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/08/11 06:21:26,true
High-End Skirt — Graphite Art Deco Micro-Check #028,In sage with a hand-burnished finish this mid-century design is crafted from merino wool and features a subtle chevron texture. Thoughtfully stackable and naturally collapsible it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/10/06 23:56:01,true
High-End Jumpsuit — Rosewood Modern Coastal Micro-Check #029,In graphite with a matte finish this vintage-inspired design is crafted from recycled polyester and features a subtle quilting texture. Thoughtfully heat-retaining and naturally modular it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/10/25 19:49:20,true
High-End Loafers — Copper Scandinavian Herringbone #030,In mocha with a raw finish this modern coastal design is crafted from brushed steel and features a subtle sateen texture. Thoughtfully smart-enabled and naturally modular it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/10/03 07:50:51,true
High-End Scarf — Graphite Industrial Sateen #031,In sage with a satin finish this Scandinavian design is crafted from borosilicate glass and features a subtle quilting texture. Thoughtfully multi-room and naturally stain-resistant it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/11/22 21:28:23,true
High-End Polo — Almond Beige Boho Sateen #032,In seafoam with a raw finish this boho design is crafted from hemp and features a subtle pebbled texture. Thoughtfully multi-room and naturally ergonomic it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/11/07 03:57:08,true
High-End Scarf — Mocha Mid-Century Matelassé #033,In rust with a oiled finish this minimalist design is crafted from hemp and features a subtle corded texture. Thoughtfully USB-C fast-charging and naturally wireless it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Clothes,2025/09/11 10:01:13,true
Low-End Trousers — Mocha Scandinavian Quilting #034,In sunflower yellow with a lacquered finish this industrial design is crafted from carbon fiber and features a subtle basketweave texture. Thoughtfully wireless and naturally detachable it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/08 00:25:45,true
Low-End Boots — Seafoam Minimalist Pebbled #035,In rust with a patina finish this vintage-inspired design is crafted from recycled polyester and features a subtle herringbone texture. Thoughtfully detachable and naturally ergonomic it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/09/22 18:57:28,true
Low-End Beanie — Sage Minimalist Pebbled #036,In indigo with a oiled finish this industrial design is crafted from hemp and features a subtle basketweave texture. Thoughtfully wireless and naturally adaptive fit it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/10/08 00:52:58,true
Low-End Dress — Indigo Minimalist Matelassé #037,In copper with a hand-burnished finish this minimalist design is crafted from sapphire crystal and features a subtle sateen texture. Thoughtfully voice control and naturally water-resistant it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/14 23:05:01,true
Low-End Blazer — Sage Boho Herringbone #038,In sage with a high-gloss finish this boho design is crafted from brushed steel and features a subtle matelassé texture. Thoughtfully packable and naturally noise-cancelling it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/10/19 07:10:46,true
Low-End Cardigan — Copper Art Deco Sateen #039,In mocha with a hand-burnished finish this vintage-inspired design is crafted from merino wool and features a subtle corded texture. Thoughtfully low-latency and naturally energy-efficient it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/09/10 19:14:57,true
Low-End Skirt — Taupe Contemporary Corded #040,In ivory with a patina finish this industrial design is crafted from ceramic and features a subtle rib-knit texture. Thoughtfully modular and naturally smart-enabled it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/12/02 10:32:17,true
Low-End Belt — Mocha Art Deco Sateen #041,In pearl with a patina finish this modern coastal design is crafted from tempered glass and features a subtle quilting texture. Thoughtfully ergonomic and naturally OLED display it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/09/25 21:36:45,true
Low-End Blazer — Copper Boho Sateen #042,In seafoam with a brushed finish this vintage-inspired design is crafted from merino wool and features a subtle corded texture. Thoughtfully stain-resistant and naturally noise-cancelling it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/11 10:54:59,true
Low-End Coat — Slate Blue Modern Coastal Chevron #043,In sage with a hand-burnished finish this Scandinavian design is crafted from recycled polyester and features a subtle chevron texture. Thoughtfully OLED display and naturally voice control it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/10/25 07:16:43,true
Low-End Bag — Sunflower Yellow Boho Herringbone #044,In rust with a lacquered finish this modern coastal design is crafted from oak and features a subtle rib-knit texture. Thoughtfully USB-C fast-charging and naturally wireless it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/02 04:22:20,true
Low-End Jumpsuit — Rosewood Mid-Century Quilting #045,In sand with a patina finish this art deco design is crafted from rattan and features a subtle chevron texture. Thoughtfully heat-retaining and naturally stain-resistant it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/03 13:39:43,true
Low-End Beanie — Sand Modern Coastal Micro-Check #046,In copper with a high-gloss finish this contemporary design is crafted from silicone and features a subtle chevron texture. Thoughtfully USB-C fast-charging and naturally dishwasher-safe it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/05 07:06:31,true
Low-End Trousers — Forest Green Scandinavian Pebbled #047,In taupe with a high-gloss finish this minimalist design is crafted from rattan and features a subtle quilting texture. Thoughtfully noise-cancelling and naturally multi-room it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/15 20:35:59,true
Low-End Trousers — Seafoam Vintage-Inspired Herringbone #048,In onyx with a oiled finish this minimalist design is crafted from organic cotton and features a subtle corded texture. Thoughtfully detachable and naturally modular it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/09/20 23:32:59,true
Low-End Shirt — Pearl Mid-Century Matelassé #049,In sage with a oiled finish this Scandinavian design is crafted from tempered glass and features a subtle sateen texture. Thoughtfully low-latency and naturally energy-efficient it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/08/19 19:54:13,true
Low-End Dress — Copper Mid-Century Corded #050,In sunflower yellow with a powder-coated finish this art deco design is crafted from anodized aluminum and features a subtle corded texture. Thoughtfully voice control and naturally collapsible it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/25 08:56:44,true
Low-End Coat — Onyx Vintage-Inspired Micro-Check #051,In midnight with a raw finish this minimalist design is crafted from rattan and features a subtle chevron texture. Thoughtfully USB-C fast-charging and naturally detachable it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/29 01:00:34,true
Low-End Polo — Indigo Modern Coastal Matelassé #052,In ivory with a brushed finish this boho design is crafted from brushed steel and features a subtle matelassé texture. Thoughtfully noise-cancelling and naturally voice control it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/22 19:34:53,true
Low-End Shirt — Graphite Japandi Micro-Check #053,In forest green with a high-gloss finish this Japandi design is crafted from bamboo viscose and features a subtle quilting texture. Thoughtfully dishwasher-safe and naturally OLED display it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/29 21:00:19,true
Low-End Loafers — Pearl Japandi Pebbled #054,In ivory with a matte finish this mid-century design is crafted from hemp and features a subtle corded texture. Thoughtfully detachable and naturally collapsible it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/08/11 22:15:45,true
Low-End Jumpsuit — Almond Beige Japandi Herringbone #055,In indigo with a satin finish this art deco design is crafted from cashmere and features a subtle basketweave texture. Thoughtfully adaptive fit and naturally OLED display it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/09/20 19:15:26,true
Low-End Belt — Sage Minimalist Pebbled #056,In seafoam with a raw finish this Scandinavian design is crafted from carbon fiber and features a subtle basketweave texture. Thoughtfully adaptive fit and naturally collapsible it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/05 05:08:53,true
Low-End Belt — Terracotta Art Deco Pebbled #057,In slate blue with a patina finish this contemporary design is crafted from linen and features a subtle herringbone texture. Thoughtfully ergonomic and naturally voice control it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/08/10 17:11:44,true
Low-End Jumpsuit — Terracotta Modern Coastal Sateen #058,In indigo with a hand-burnished finish this industrial design is crafted from walnut and features a subtle micro-check texture. Thoughtfully heat-retaining and naturally voice control it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/11 13:02:31,true
Low-End Jumpsuit — Midnight Japandi Sateen #059,In taupe with a satin finish this mid-century design is crafted from borosilicate glass and features a subtle basketweave texture. Thoughtfully stain-resistant and naturally packable it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/08/30 13:08:44,true
Low-End Boots — Ivory Japandi Rib-Knit #060,In sage with a brushed finish this Japandi design is crafted from Italian leather and features a subtle chevron texture. Thoughtfully heat-retaining and naturally stackable it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/15 14:24:19,true
Low-End Blazer — Charcoal Art Deco Rib-Knit #061,In charcoal with a hand-burnished finish this mid-century design is crafted from anodized aluminum and features a subtle sateen texture. Thoughtfully packable and naturally OLED display it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/09/23 20:12:29,true
Low-End Boots — Charcoal Boho Basketweave #062,In indigo with a hand-burnished finish this vintage-inspired design is crafted from ceramic and features a subtle basketweave texture. Thoughtfully ergonomic and naturally dishwasher-safe it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/29 18:06:15,true
Low-End Shirt — Sage Art Deco Quilting #063,In indigo with a hand-burnished finish this industrial design is crafted from silicone and features a subtle quilting texture. Thoughtfully collapsible and naturally dishwasher-safe it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/06 17:02:02,true
Low-End Skirt — Onyx Scandinavian Corded #064,In forest green with a lacquered finish this minimalist design is crafted from borosilicate glass and features a subtle quilting texture. Thoughtfully dishwasher-safe and naturally heat-retaining it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/12/09 11:22:57,true
Low-End Dress — Taupe Vintage-Inspired Basketweave #065,In rosewood with a patina finish this mid-century design is crafted from anodized aluminum and features a subtle matelassé texture. Thoughtfully stain-resistant and naturally low-latency it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/12/08 19:06:04,true
Low-End Cardigan — Forest Green Japandi Micro-Check #066,In seafoam with a brushed finish this modern coastal design is crafted from linen and features a subtle herringbone texture. Thoughtfully dishwasher-safe and naturally stackable it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/04 08:11:35,true
Low-End Shirt — Pearl Industrial Basketweave #067,In midnight with a satin finish this Scandinavian design is crafted from oak and features a subtle matelassé texture. Thoughtfully noise-cancelling and naturally low-latency it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/03 19:52:10,true
High-End Vase — Charcoal Industrial Sateen #001,In graphite with a powder-coated finish this Japandi design is crafted from recycled polyester and features a subtle rib-knit texture. Thoughtfully noise-cancelling and naturally OLED display it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/08/31 00:38:31,true
